InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
547722,nz572,CAREER REMAIN SECTION,6,2023-08-19 01:52:23,95.6,72793,United Kingdom,573.5999999999999
536404,ks731,MACHINE JUST GOAL,13,2023-07-30 13:44:36,17.63,85108,United Kingdom,229.19
536404,eI500,PICTURE NOW,19,2023-07-30 13:44:36,13.03,85108,United Kingdom,247.57
536404,lm129,MILLION THREAT WEAR,6,2023-07-30 13:44:36,84.25,85108,United Kingdom,505.5
536404,vX110,DIFFICULT BOOK TOP,4,2023-07-30 13:44:36,6.72,85108,United Kingdom,26.88
536404,UK530,ACCOUNT SOME,3,2023-07-30 13:44:36,55.47,85108,United Kingdom,166.41
536404,Dq115,DIRECTION LATER,3,2023-07-30 13:44:36,11.86,85108,United Kingdom,35.58
536404,sQ982,LAND HARD CULTURE,4,2023-07-30 13:44:36,61.78,85108,United Kingdom,247.12
536404,tU269,HERE HOUSE,5,2023-07-30 13:44:36,58.66,85108,United Kingdom,293.29999999999995
536404,CH758,FINISH SMALL SEEM,8,2023-07-30 13:44:36,6.76,85108,United Kingdom,54.08
561912,lT588,RELIGIOUS,12,2023-06-25 11:27:49,45.41,97039,United Kingdom,544.92
561912,SA879,RECEIVE DIRECTOR,8,2023-06-25 11:27:49,72.92,97039,United Kingdom,583.36
561912,qj800,COURT ESTABLISH HUGE,13,2023-06-25 11:27:49,46.59,97039,United Kingdom,605.6700000000001
515156,nl404,CAN SERIOUS MEDIA PICTURE,17,2023-12-12 18:26:21,10.82,41332,United Kingdom,183.94
515156,UK530,ACCOUNT SOME,4,2023-12-12 18:26:21,55.47,41332,United Kingdom,221.88
515156,fo355,ADMINISTRATION INSTITUTION APPROACH,8,2023-12-12 18:26:21,82.43,41332,United Kingdom,659.44
515156,ij506,STATE MAINTAIN,17,2023-12-12 18:26:21,10.74,41332,United Kingdom,182.58
515156,hK211,LAW MATTER,3,2023-12-12 18:26:21,35.81,41332,United Kingdom,107.43
515156,yC973,SMILE THEIR,17,2023-12-12 18:26:21,78.9,41332,United Kingdom,1341.3000000000002
541939,Om947,EXACTLY AS I,2,2023-09-15 01:03:52,71.2,38956,United Kingdom,142.4
